,date,averagePrice,volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,42365,1,64237,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany
1,42358,1,54877,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
2,42351,1,118220,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
3,42344,1,78992,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
4,42337,1,51040,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany
5,42330,1,55980,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
6,42323,1,83454,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany
7,42316,1,109428,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany
8,42309,1,99811,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany
9,42302,1,74339,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany
10,42295,1,84843,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany
11,42288,1,64489,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,conventional,2015,Albany
12,42281,1,61007,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany
13,42274,1,106803,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,conventional,2015,Albany
14,42267,1,69759,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0,conventional,2015,Albany
15,42260,1,76111,985.73,65696.86,142,9286.68,8665.19,621.49,0,conventional,2015,Albany
16,42253,1,99173,879.45,90062.62,240.79,7990.1,7762.87,227.23,0,conventional,2015,Albany
17,42246,1,105694,689.01,94362.67,335.43,10306.73,10218.93,87.8,0,conventional,2015,Albany
18,42239,1,79992,733.16,67933.79,444.78,10880.36,10745.79,134.57,0,conventional,2015,Albany
19,42232,1,80044,539.65,68666.01,394.9,10443.22,10297.68,145.54,0,conventional,2015,Albany
20,42225,1,111141,584.63,100961.46,368.95,9225.89,9116.34,109.55,0,conventional,2015,Albany
21,42218,1,75133,509.94,62035.06,741.08,11847.02,11768.52,78.5,0,conventional,2015,Albany
22,42211,1,106757,648.75,91949.05,966.61,13192.69,13061.53,131.16,0,conventional,2015,Albany
23,42204,1,96617,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0,conventional,2015,Albany
24,42197,1,124055,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany
25,42190,1,109252,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0,conventional,2015,Albany
26,42183,1,89535,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0,conventional,2015,Albany
27,42176,1,104849,804.01,76688.55,5481.18,21875.65,21662,213.65,0,conventional,2015,Albany
28,42169,1,89631,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0,conventional,2015,Albany
29,42162,1,122743,656.71,99220.82,90.32,22775.21,22314.99,460.22,0,conventional,2015,Albany
30,42155,1,95124,922.37,70469.69,50.55,23681.01,23222.49,458.52,0,conventional,2015,Albany
31,42148,1,101471,680.27,71376.81,58.7,29355.13,28761.81,593.32,0,conventional,2015,Albany
32,42141,1,109857,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0,conventional,2015,Albany
33,42134,1,120428,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0,conventional,2015,Albany
34,42127,1,59198,919.87,45490.05,217.24,12570.51,12201.95,368.56,0,conventional,2015,Albany
35,42120,1,49585,875.65,35841.75,89.62,12778.44,12076.83,701.61,0,conventional,2015,Albany
36,42113,1,49065,774.15,33941.51,47.15,14301.92,13602.97,698.95,0,conventional,2015,Albany
